category,product_name,mrp_inr,discount_pct,available_qty,selling_price_inr,weight_gms,out_of_stock,unit_qty,discount_amount,price_per_100g,stock_status,discount_tier
Fruits & Vegetables,Zucchini Yellow,42.0,16,3,35.0,250,False,500,7.0,16.8,In Stock,Mid (11-20%)
Fruits & Vegetables,Apple Kinnaur,142.0,16,6,119.0,232,False,4,23.0,61.206896551724135,In Stock,Mid (11-20%)
Fruits & Vegetables,Pineapple,94.0,15,3,79.0,58,False,1,15.0,162.06896551724137,In Stock,Mid (11-20%)
Fruits & Vegetables,Basil,20.0,15,3,17.0,100,False,100,3.0,20.0,In Stock,Mid (11-20%)
Fruits & Vegetables,Parsley,17.0,17,3,14.0,100,False,100,3.0,17.0,In Stock,Mid (11-20%)
Fruits & Vegetables,Ridge Gourd,30.0,16,3,25.0,500,False,500,5.0,6.0,In Stock,Mid (11-20%)
Fruits & Vegetables,Papaya Cut,46.0,15,3,39.0,200,False,200,7.0,23.0,In Stock,Mid (11-20%)
Fruits & Vegetables,Pomegranate Peeled,58.0,15,2,49.0,100,False,100,9.0,57.99999999999999,Low Stock,Mid (11-20%)
Fruits & Vegetables,Pear Green Imported,82.0,15,3,69.0,116,False,2,13.0,70.6896551724138,In Stock,Mid (11-20%)
Fruits & Vegetables,Guava Thai,70.0,15,3,59.0,116,False,2,11.0,60.3448275862069,In Stock,Mid (11-20%)
Fruits & Vegetables,Lettuce Red,20.0,15,3,17.0,100,False,100,3.0,20.0,In Stock,Mid (11-20%)
Fruits & Vegetables,Mango Raw,60.0,16,3,50.0,500,False,500,10.0,12.0,In Stock,Mid (11-20%)
Fruits & Vegetables,Biryani /Pulav Mix,58.0,15,3,49.0,250,False,250,9.0,23.200000000000003,In Stock,Mid (11-20%)
Fruits & Vegetables,Banana Nendran,54.0,16,6,45.0,500,False,500,9.0,10.8,In Stock,Mid (11-20%)
Fruits & Vegetables,Pumpkin Cut,30.0,16,3,25.0,200,False,200,5.0,15.0,In Stock,Mid (11-20%)
Fruits & Vegetables,Banana Red,54.0,16,6,45.0,500,False,500,9.0,10.8,In Stock,Mid (11-20%)
Fruits & Vegetables,Radish White,23.0,17,6,19.0,500,False,500,4.0,4.6,In Stock,Mid (11-20%)
Fruits & Vegetables,Avocado Indian Premium,177.0,15,3,149.0,58,False,1,28.0,305.1724137931035,In Stock,Mid (11-20%)
Fruits & Vegetables,Banana Leaf,12.0,16,2,10.0,58,False,1,2.0,20.689655172413794,Low Stock,Mid (11-20%)
Fruits & Vegetables,Sponge Gourd,25.0,16,2,21.0,300,False,300,4.0,8.333333333333332,Low Stock,Mid (11-20%)
Fruits & Vegetables,Zama Organics Carrot,20.0,15,3,17.0,250,False,250,3.0,8.0,In Stock,Mid (11-20%)
Fruits & Vegetables,Safal Frozen - Mixed Vegetables,110.0,4,2,105.0,1000,False,1,5.0,11.0,Low Stock,Low (1-10%)
Fruits & Vegetables,Zama Organics Sweet Potato,37.0,16,3,31.0,250,False,250,6.0,14.799999999999999,In Stock,Mid (11-20%)
Fruits & Vegetables,Beetroot,16.0,18,3,13.0,500,False,500,3.0,3.2,In Stock,Mid (11-20%)
Fruits & Vegetables,Capsicum,26.0,19,3,21.0,500,False,500,5.0,5.2,In Stock,Mid (11-20%)
Fruits & Vegetables,Carrot,19.0,21,3,15.0,500,False,500,4.0,3.8,In Stock,High (21%+)
Fruits & Vegetables,Garlic,17.0,23,3,13.0,200,False,200,4.0,8.5,In Stock,High (21%+)
Fruits & Vegetables,Carrot,13.0,15,0,11.0,250,True,200,2.0,5.2,Out of Stock,Mid (11-20%)
Fruits & Vegetables,Beetroot,11.0,18,0,9.0,250,True,250,2.0,4.3999999999999995,Out of Stock,Mid (11-20%)
Fruits & Vegetables,Moong Sprouts,35.0,17,0,29.0,200,True,200,6.0,17.5,Out of Stock,Mid (11-20%)
Fruits & Vegetables,Safal Frozen Mixed Vegetables,60.0,5,0,57.0,500,True,500,3.0,12.0,Out of Stock,Low (1-10%)
Fruits & Vegetables,Safal Frozen Corn,41.0,4,0,39.0,200,True,200,2.0,20.5,Out of Stock,Low (1-10%)
Fruits & Vegetables,Safal Frozen - Sweet Corn,160.0,5,0,152.0,1000,True,1,8.0,16.0,Out of Stock,Low (1-10%)
Cooking Essentials,Maggi 2 Minute Masala Noodles,12.0,0,6,12.0,70,False,70,0.0,17.142857142857142,In Stock,No Discount
Cooking Essentials,iD Idli & Dosa Batter,80.0,15,6,68.0,1000,False,1,12.0,8.0,In Stock,Mid (11-20%)
Cooking Essentials,Tata Salt,24.0,0,6,24.0,1000,False,1,0.0,2.4,In Stock,No Discount
Cooking Essentials,Arden Eggs White,97.0,0,4,97.0,696,False,12,0.0,13.936781609195403,In Stock,No Discount
Cooking Essentials,Arden Eggs White,65.0,15,4,55.0,348,False,6,10.0,18.67816091954023,In Stock,Mid (11-20%)
Cooking Essentials,Fortune Sunlite Refined Sunflower (Pouch),230.0,4,6,219.0,1000,False,1,11.0,23.0,In Stock,Low (1-10%)
Cooking Essentials,Aashirvaad Superior MP Atta,250.0,2,6,245.0,5000,False,5,5.0,5.0,In Stock,Low (1-10%)
Cooking Essentials,Amul Pure Ghee (Pouch),255.0,2,6,249.0,500,False,500,6.0,51.0,In Stock,Low (1-10%)
Cooking Essentials,Arden Eggs Brown,85.0,7,4,79.0,348,False,6,6.0,24.42528735632184,In Stock,Low (1-10%)
Cooking Essentials,Tata Salt Lite,40.0,10,6,36.0,1000,False,1,4.0,4.0,In Stock,Low (1-10%)
Cooking Essentials,Saffola Gold Oil (Pouch),215.0,0,6,215.0,1000,False,1,0.0,21.5,In Stock,No Discount
Cooking Essentials,Fortune Sunlite Refined Sunflower (Jar),925.0,0,6,925.0,5000,False,5,0.0,18.5,In Stock,No Discount
Cooking Essentials,Fortune Rice Bran (Pouch),225.0,11,6,199.0,1000,False,1,26.0,22.5,In Stock,Mid (11-20%)
Cooking Essentials,Saffola Active Oil,210.0,0,6,210.0,1000,False,1,0.0,21.0,In Stock,No Discount
Cooking Essentials,Amul Pure Ghee (Pouch),505.0,1,2,499.0,1000,False,1,6.0,50.5,Low Stock,Low (1-10%)
Cooking Essentials,Aashirvaad Atta,460.0,13,6,399.0,10000,False,10,61.0,4.6,In Stock,Mid (11-20%)
Cooking Essentials,Popular Essentials Toor Dal (Un-Polished),160.0,6,4,149.0,1000,False,1,11.0,16.0,In Stock,Low (1-10%)
